>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 652 -19  -3 -23   2   2   2
 653 -18  -3 -23   2   2   2
 654 -17  -3 -23   2   2   2
 655 -16  -3 -23   2   2   2
 656 -15  -3 -23   2   2   2
 657 -14  -3 -23   2   2   2
 658 -13  -3 -23   2   2   2
 659 -12  -3 -23   2   2   2
 660 -11  -3 -23   2   2   2
 661 -10  -3 -23   2   2   2
 662  -9  -3 -23   2   2   2
 663  -8  -3 -23   2   2   2
 664  -7  -3 -23   2   2   2
 665  -6  -3 -23   2   2   2
 666  -5  -3 -23   2   2   2
 667  -4  -3 -23   2   2   2
 668  -3  -3 -23   2   2   2
 669  -2  -3 -23   2   2   2
 670  -1  -3 -23   2   2   2
 671   0  -3 -23   2   2   2
 672   1  -3 -23   2   2   2
 673   2  -3 -23   2   2   2
 674   3  -3 -23   2   2   2
 675   4  -3 -23   2   2   2
 676   5  -3 -23   2   2   2
 677   6  -3 -23   2   2   2
 678   7  -3 -23   2   2   2
 679   8  -3 -23   2   2   2
 680   9  -3 -23   2   2   2
 681  10  -3 -23   2   2   2
 682  11  -3 -23   2   2   2
 683  12  -3 -23   2   2   2
 684  13  -3 -23   2   2   2
 685  14  -3 -23   2   2   2
 686  15  -3 -23   2   2   2
 687  16  -3 -23   2   2   2
 688  17  -3 -23   2   2   2
 689  18  -3 -23   2   2   2
 690  19  -3 -23   2   2   2
 691  20  -3 -23   2   2   2
 692  21  -3 -23   2   2   2
 693  22  -3 -23   2   2   2
 694 -22  -2 -23   2   2   2
 695 -21  -2 -23   2   2   2
 696 -20  -2 -23   2   2   2
 697 -19  -2 -23   2   2   2
 698 -18  -2 -23   2   2   2
 699 -17  -2 -23   2   2   2
 700 -16  -2 -23   2   2   2
 701 -15  -2 -23   2   2   2
 702 -14  -2 -23   2   2   2
 703 -13  -2 -23   2   2   2
 704 -12  -2 -23   2   2   2
 705 -11  -2 -23   2   2   2
 706 -10  -2 -23   2   2   2
 707  -9  -2 -23   2   2   2
 708  -8  -2 -23   2   2   2
 709  -7  -2 -23   2   2   2
 710  -6  -2 -23   2   2   2
 711  -5  -2 -23   2   2   2
 712  -4  -2 -23   2   2   2
 713  -3  -2 -23   2   2   2
 714  -2  -2 -23   2   2   2
 715  -1  -2 -23   2   2   2
 716   0  -2 -23   2   2   2
 717   1  -2 -23   2   2   2
 718   2  -2 -23   2   2   2
 719   3  -2 -23   2   2   2
 720   4  -2 -23   2   2   2
 721   5  -2 -23   2   2   2
 722   6  -2 -23   2   2   2
 723   7  -2 -23   2   2   2
